2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/eaccess
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Portals/75/Maricopa_Vacancies/NewsRelease-Interviews-BrnovichHegyiTalamante.pdf
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/aochumanresources
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/Portals/0/ASCSpeakerRequestFillableAug2022.pdf
2024-10-30 13:44:56 - root - INFO - Crawling on https://apps.azcourts.gov/publicaccess
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.superiorcourt.maricopa.gov/app/selfsuffcalc/
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.linkedin.com/company/arizona-supreme-court
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.youtube.com/@azcourts
2024-10-30 13:44:56 - root - INFO - Crawling on https://vimeo.com/user39445877
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/sitemap.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/aochumanresources/CareerOpportunities.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/judicialjobs
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/volunteer
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/fcrb/Volunteer.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/apsd/AmeriCorps
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/azcjc/ArizonaCommissiononJudicialConduct.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/selfservicecenter/Topics
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/HelpfulLinks/educatorlinks.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/HelpfulLinks/Legalassociations.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azleg.gov/arstitle/
2024-10-30 13:44:56 - root - INFO - Crawling on https://apps.azcourts.gov/registry
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/corp
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/elcentrodeautoservicio
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/contactus.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/ContactUs/Feedback.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://www.azcourts.gov/PrivacyNotice.aspx
2024-10-30 13:44:56 - root - INFO - Crawling on https://azcourts.gov/Login
2024-10-30 13:44:56 - root - INFO - End crawling through dictionary
2024-10-30 13:44:56 - root - INFO - Elapsed time: 0.56 seconds
